dateCut,timeCut,joinpoint,count,retweets,fake_month,fake_hour
12,21,12 21,14,6172.142857142857,12,21
12,22,12 22,21,6997.619047619048,12,22
12,23,12 23,21,4031.809523809524,12,23
12,24,12 24,8,4298.0,12,24
13,1,13 1,9,7353.777777777777,13,1
13,2,13 2,10,12170.9,13,2
13,3,13 3,13,9265.153846153846,13,3
13,4,13 4,25,11686.76,13,4
13,5,13 5,11,9250.363636363636,13,5
13,6,13 6,1,10082.0,13,6
13,7,13 7,1,12903.0,13,7
NA,NA,13 8,NA,NA,13,8
NA,NA,13 9,NA,NA,13,9
13,10,13 10,3,9799.666666666666,13,10
13,11,13 11,8,11084.75,13,11
13,12,13 12,17,9682.64705882353,13,12
13,13,13 13,34,8830.29411764706,13,13
13,14,13 14,38,8553.0,13,14
13,15,13 15,21,9130.142857142857,13,15
13,16,13 16,20,10973.3,13,16
13,17,13 17,11,10515.636363636364,13,17
13,18,13 18,17,10682.470588235294,13,18
13,19,13 19,19,8963.0,13,19
13,20,13 20,9,9793.333333333334,13,20
13,21,13 21,22,8581.636363636364,13,21
13,22,13 22,28,9525.75,13,22
13,23,13 23,31,8755.90322580645,13,23
13,24,13 24,10,15178.1,13,24
14,1,14 1,19,8477.052631578947,14,1
14,2,14 2,19,9008.736842105263,14,2
14,3,14 3,26,9242.884615384615,14,3
14,4,14 4,5,7434.6,14,4
14,5,14 5,5,6806.4,14,5
14,6,14 6,1,8197.0,14,6
NA,NA,14 7,NA,NA,14,7
NA,NA,14 8,NA,NA,14,8
NA,NA,14 9,NA,NA,14,9
14,10,14 10,1,13686.0,14,10
14,11,14 11,8,12348.125,14,11
14,12,14 12,10,9272.6,14,12
14,13,14 13,16,8173.8125,14,13
14,14,14 14,19,8054.1578947368425,14,14
14,15,14 15,13,8999.923076923076,14,15
14,16,14 16,7,6958.0,14,16
14,17,14 17,11,10006.181818181818,14,17
14,18,14 18,11,8416.181818181818,14,18
14,19,14 19,15,9791.466666666667,14,19
14,20,14 20,16,8980.875,14,20
14,21,14 21,23,8945.91304347826,14,21
14,22,14 22,13,8802.692307692309,14,22
14,23,14 23,24,7546.333333333333,14,23
14,24,14 24,23,8937.608695652174,14,24
15,1,15 1,20,7967.55,15,1
15,2,15 2,20,8059.9,15,2
15,3,15 3,30,8845.1,15,3
15,4,15 4,11,8717.181818181818,15,4
15,5,15 5,13,7845.153846153846,15,5
15,6,15 6,11,9472.545454545454,15,6
15,7,15 7,2,8118.5,15,7
15,8,15 8,1,18143.0,15,8
NA,NA,15 9,NA,NA,15,9
15,10,15 10,4,12676.5,15,10
15,11,15 11,9,7678.0,15,11
15,12,15 12,9,7656.0,15,12
15,13,15 13,21,10215.761904761905,15,13
15,14,15 14,16,9845.5625,15,14
15,15,15 15,17,10000.235294117647,15,15
15,16,15 16,11,9265.545454545454,15,16
15,17,15 17,14,8681.0,15,17
15,18,15 18,16,10464.375,15,18
15,19,15 19,10,15108.7,15,19
15,20,15 20,6,8979.0,15,20
15,21,15 21,15,9108.733333333334,15,21
15,22,15 22,13,7994.461538461538,15,22
15,23,15 23,16,9108.875,15,23
15,24,15 24,15,9359.733333333334,15,24
16,1,16 1,20,12012.3,16,1
16,2,16 2,113,8015.7522123893805,16,2
16,3,16 3,81,10064.481481481482,16,3
16,4,16 4,9,17435.555555555555,16,4
16,5,16 5,11,17933.545454545456,16,5
NA,NA,16 6,NA,NA,16,6
NA,NA,16 7,NA,NA,16,7
16,8,16 8,1,19567.0,16,8
NA,NA,16 9,NA,NA,16,9
NA,NA,16 10,NA,NA,16,10
16,11,16 11,1,16496.0,16,11
16,12,16 12,9,17647.11111111111,16,12
16,13,16 13,17,16353.823529411764,16,13
16,14,16 14,16,15949.875,16,14
16,15,16 15,32,14646.78125,16,15
16,16,16 16,24,12804.375,16,16
16,17,16 17,18,12569.666666666666,16,17
